
set TIMESLOTS := p01t00 p01t15 p01t30 p01t45 p01t60 p01t75
	p02t00 p02t15 p02t30 p02t45 p02t60 p02t75
	p03t00 p03t15 p03t30 p03t45 p03t60 p03t75
	p04t00 p04t15 p04t30 p04t45 p04t60 p04t75;
set PLANES := av1 av2 av3 av4 av5;

param plane_cost :=
av1 100
av2 200
av3 150
av4 250
av5 200;

#		Cost	100€	200€	150€	250€	200€
param unit_cost : 	av1 	av2 	av3 	av4 	av5 :=
p01t00			99999	99999	99999	99999	99999
p01t15			99999	99999	99999	99999	99999
p01t30			99999	99999	99999	99999	99999
p01t45			99999	99999	99999	99999	99999
p01t60			50	99999	99999	5	9999
p01t75			99999	99999	99999	99999	5

p02t00			99999	99999	99999	99999	99999
p02t15			99999	99999	99999	99999	99999
p02t30			20	99999	99999	99999	99999
p02t45			35	99999	5	99999	99999
p02t60			99999	99999	99999	99999	99999
p02t75			99999	99999	99999	99999	99999

p03t00			99999	5	99999	99999	99999
p03t15			5	20	99999	99999	99999
p03t30			20	99999	99999	99999	99999
p03t45			99999	99999	99999	99999	99999
p03t60			99999	99999	99999	99999	99999
p03t75			65	99999	99999	99999	5

p04t00			99999	5	99999	99999	99999
p04t15			99999	99999	99999	99999	99999
p04t30			99999	99999	99999	99999	99999
p04t45			99999	99999	99999	99999	99999
p04t60			50	99999	99999	5	99999
p04t75			65	99999	99999	99999	5;
